City,Population,LiteracyRate,Graduates,Location
Bokaro Steel City ,413934,84.94,61034,"23.6692956,86.151112"
Bongaon ,110668,90.25,10286,"23.0440381,88.827703"
Botad ,130302,83.21,4578,"22.1704232,71.6684269"
Brahmapur Town ,355823,90.04,50782,"19.3149618,84.7940911"
Budaun ,159221,73.0,19204,"28.0337088,79.1205419"
Bulandshahr ,222826,78.98,32546,"28.406963,77.8498292"
Bundi ,102823,83.15,13148,"25.4305144,75.6499025"
Burari ,145584,88.81,17914,"28.7535212,77.1948241"
Burhanpur ,210891,81.7,15203,"21.3193875,76.2224273"
Buxar ,102591,85.16,12464,"25.4987785,84.1435136"
Champdani ,110983,82.39,7167,"22.8049456,88.3409338"
Chandannagar ,166949,90.62,30933,"22.8647723,88.36326"
Chandausi ,114254,72.63,15436,"28.4480507,78.7796105"
Chandigarh ,960787,86.77,189312,"30.7333148,76.7794179"
Chandrapur ,321036,90.81,37686,"19.9704597,79.3014845"
Chapra ,201597,81.3,22852,"25.7795649,84.7498886"
Chas ,141618,85.12,15277,"23.6388375,86.1700894"
Chennai ,4681087,90.33,879695,"13.0826802,80.2707184"
Chhattarpur ,133626,84.57,20807,"24.728683,79.560344"
Chhindwara ,138266,90.37,28233,"22.057437,78.9381729"
Chikmagalur ,118496,89.79,13204,"13.315258,75.7754018"
Chilakaluripet ,101550,72.08,9526,"16.0924301,80.1623948"
Chitradurga ,139914,88.76,16857,"14.2305594,76.3984537"
Chittaurgarh ,116409,84.96,16833,"24.8887435,74.6269216"
Chittoor ,153766,86.37,21345,"13.2218054,79.1010442"
Churu ,119846,75.11,8756,"28.3174965,74.9851678"
Coimbatore ,1061447,91.74,168145,"11.0168445,76.9558321"
Cuddalore ,173361,88.54,21572,"11.744699,79.7680243"
Cuttack ,606007,91.17,110147,"20.462521,85.8829895"
Dabgram ,118464,73.98,2532,"26.6954603,88.4415998"
Dallo Pura ,154955,81.92,17134,"28.6004677,77.319462"
Damoh ,124979,87.1,16544,"23.8380986,79.4421731"
Darbhanga ,294116,80.88,38605,"26.111868,85.896004"
Darjiling ,120414,94.18,16319,"27.0360066,88.2626751"
Datia ,100466,80.54,12717,"25.6653262,78.4609393"
Davanagere ,435128,84.89,40740,"14.4663438,75.9238397"
Deesa ,111149,80.67,5933,"24.2585031,72.1906721"
Dehradun ,578420,89.32,136036,"30.3164945,78.0321918"
Dehri ,137068,83.38,14780,"24.9277351,84.1909841"
Delhi ,11007835,87.6,2221137,"28.7041,77.1025"
Delhi Cantonment ,116352,91.11,17317,"28.5961279,77.1587375"
Deoghar ,203116,86.8,27126,"24.4763201,86.6913222"
Deoli ,169410,83.85,13046,"28.4962152,77.2376414"
Deoria ,129570,88.81,25206,"26.4270039,83.804868"
Dewas ,289438,85.83,29848,"22.9622672,76.0507949"
Dhanbad ,1161561,80.78,104768,"23.7956531,86.4303859"
Dharmavaram ,121992,71.83,7560,"14.4137447,77.7126189"
Dhaulpur ,126142,76.56,11782,"26.7025181,77.893391"
Dhule ,376093,89.86,38164,"20.9042201,74.7748979"
Dibrugarh ,138661,89.77,20878,"27.4728327,94.9119621"
Dimapur ,123777,87.48,12902,"25.8629885,93.7536663"
Dinapur Nizamat ,182241,78.4,19777,"25.6328264,85.0597137"
Dindigul ,207225,90.55,23327,"10.3673123,77.9802906"
Dum Dum ,117637,93.51,25287,"22.6470514,88.431683"
Durg ,268679,87.94,38428,"21.1904494,81.2849169"
Durgapur ,566937,87.84,80060,"23.5204443,87.3119227"
Eluru ,214414,74.13,23523,"16.7106604,81.0952431"
English Bazar ,216083,84.69,28983,"25.0108408,88.1410967"
Erode ,156953,88.39,19615,"11.3410364,77.7171642"
Etah ,118632,86.43,21588,"27.5587505,78.662567"
Etawah ,256790,82.89,38404,"26.8458148,79.1096901"
Faizabad ,167544,86.52,30658,"26.7732476,82.1441643"
Faridabad ,1404653,84.88,219974,"28.4089123,77.3177894"
Farrukhabad-cum-Fatehgarh ,275754,74.92,31160,"27.3826126,79.5940544"
Fatehpur ,193801,77.69,25076,"25.8499808,80.8986502"
Firozabad ,603797,70.08,36145,"27.1591006,78.3957574"
Firozpur ,110091,79.75,14939,"30.9331348,74.6224755"
Gadag-Betigeri ,172813,85.56,15926,"15.4324651,75.6380337"
Gandhidham ,248705,83.34,24431,"23.075297,70.133673"
Gandhinagar ,208299,93.7,52343,"23.2156354,72.6369415"
Ganganagar ,224773,83.22,34347,"29.9038399,73.8771901"
Gangapur City ,119045,79.78,9850,"26.4846537,76.7278803"
Gangawati ,105354,76.58,6927,"15.431874,76.5314817"
Gaya ,463454,85.74,56679,"24.7954523,84.999431"
Ghazipur ,110698,85.46,18840,"25.5840419,83.5770202"
Giridih ,114447,85.75,15112,"24.2841482,86.0937312"
Godhra ,143126,88.72,12053,"22.7788044,73.6142795"
Gokal Pur ,121938,85.24,15993,"28.703423,77.2840105"
Gonda ,114353,81.07,17212,"27.1339913,81.9618968"
Gondal ,112064,85.73,10557,"21.9619463,70.792297"
Gondiya ,132889,93.7,18563,"21.4624491,80.2209773"
Gorakhpur ,671048,85.97,123723,"26.7605545,83.3731675"
Greater Hyderabad ,6809970,82.96,1164149,"17.3850,78.4867"
Greater Mumbai ,12478447,90.28,1802371,"19.0760,72.8777"
Greater Noida ,107676,86.54,20791,"28.4743879,77.5039904"
Gudivada ,118289,82.16,12523,"16.4410255,80.9926327"
Gulbarga ,532031,83.71,65039,"17.329731,76.8342957"
Guna ,180978,81.71,22104,"24.6348197,77.2979782"
Guntakal ,126479,75.7,11626,"15.1674091,77.3736238"
Guntur ,651382,81.11,94432,"16.3066525,80.4365402"
Gurgaon ,876824,86.3,233817,"28.4594965,77.0266383"
Guwahati ,963429,91.11,184065,"26.1445169,91.7362365"
Gwalior ,1053505,85.2,169264,"26.2182871,78.1828308"
Habra ,149675,90.85,13824,"22.8488542,88.6639591"
Hajipur ,147126,79.26,16319,"25.6858392,85.2145907"
Haldia ,200762,89.06,17487,"22.0666742,88.0698118"
Haldwani-cum-Kathgodam ,156060,81.75,34329,"29.2182644,79.5129767"
Halisahar ,126893,89.25,10802,"22.9441261,88.4193259"
Hanumangarh ,151104,78.32,16870,"29.5815012,74.3294199"
Haora ,1072161,89.86,151490,"22.5957689,88.2636394"
Hapur ,262801,75.34,28472,"28.7305798,77.7758825"
Hardoi ,126890,87.15,29166,"27.2978965,80.1875065"
Hardwar ,225235,84.99,38835,"29.9456906,78.1642478"
Hassan ,133723,90.51,21042,"13.0068142,76.0995519"
Hastsal ,177033,84.68,12901,"28.6377129,77.0490264"
Hathras ,137509,79.06,18612,"27.6056212,78.0537813"
Hazaribag ,142494,89.95,28889,"23.9966213,85.3691068"
Hindaun ,105690,76.58,7964,"26.7454967,77.0330481"
Hindupur ,151835,76.4,11050,"13.8185378,77.4988753"
Hinganghat ,100416,94.34,11256,"20.5505728,78.8411405"
Hisar ,301249,81.04,49148,"29.1491875,75.7216527"
Hoshangabad ,117956,87.97,18980,"22.744108,77.736967"
Hoshiarpur ,168443,89.11,26629,"31.5143178,75.911483"
Hospet ,206159,80.02,17556,"15.2688542,76.3909241"
Hosur ,116821,88.24,15530,"12.7409127,77.8252923"
Hubli-Dharwad ,943857,87.28,113864,"15.3647083,75.1239547"
Hugli-Chinsurah ,177209,91.94,31236,"22.8858771,88.3919026"
Ichalkaranji ,287570,87.85,22644,"16.7090008,74.4560807"
Imphal ,264986,91.7,63915,"24.8170111,93.9368439"
Indore ,1960631,87.38,313525,"22.7195687,75.8577258"
Jabalpur ,1054336,88.9,169711,"23.181467,79.9864071"
Jagadhri ,124915,85.79,18738,"30.1680858,77.2969204"
Jagdalpur ,125345,85.44,16223,"19.0740973,82.008014"
Jaipur ,3073350,84.34,533148,"26.9124336,75.7872709"
Jalandhar ,862196,85.5,128924,"31.3260152,75.5761829"
Jalgaon ,460468,88.96,55315,"21.0076578,75.5626039"
Jalna ,285349,84.61,23959,"19.8296893,75.8800305"
Jalpaiguri ,107351,91.11,20252,"26.5434772,88.7205256"
Jamalpur ,105221,87.38,10638,"25.312717,86.4906091"
Jammu ,503690,89.66,121564,"32.7266016,74.8570259"
Jamnagar ,529308,82.58,52049,"22.4707019,70.05773"
Jamshedpur ,629659,87.5,110962,"22.8045665,86.2028754"
Jamuria ,144971,73.11,5436,"23.7060688,87.0774107"
Jaunpur ,168128,82.11,24871,"25.7490034,82.6987002"
Jehanabad ,102456,79.66,8901,"25.1515827,84.981754"
Jetpur Navagadh ,118550,83.86,8846,"21.7615246,70.6276279"
Jhansi ,507293,83.81,78757,"25.4484257,78.5684594"
Jhunjhunun ,118966,74.4,10403,"28.1288747,75.3995089"
Jind ,166225,83.63,21508,"29.3211153,76.3058328"
Jodhpur ,1033918,81.56,140922,"26.2389469,73.0243094"
Junagadh ,320250,88.63,36910,"21.522184,70.4578768"
Kadapa ,341823,79.38,41997,"14.4673541,78.8241339"
Kaithal ,144633,80.76,18095,"29.7856734,76.3984537"
Kakinada ,312255,81.23,47823,"16.9890648,82.2474648"
Kalol ,112126,88.69,14208,"23.2463895,72.5086513"
Kalyani ,100620,88.75,17457,"22.9750855,88.4345078"
Kamarhati ,336579,88.22,50367,"22.6846668,88.3706491"
Kancheepuram ,164265,88.35,18625,"12.8341735,79.7036402"
Kanchrapara ,122181,90.8,13808,"22.944101,88.4335019"
Kanpur ,2767031,84.14,459611,"26.449923,80.3318736"
Kanpur City,108035,79.65,12635,"26.449923,80.3318736"
Karaikkudi ,106793,91.25,11778,"10.0731315,78.7801544"
Karawal Nagar ,224666,84.57,14478,"28.7283102,77.276926"
Karimnagar ,260899,86.75,52034,"18.4385553,79.1288412"
Karnal ,286974,86.32,52911,"29.6856929,76.9904825"
Kasganj ,101241,78.56,13306,"27.8129344,78.649785"
Kashipur ,121610,83.4,20036,"29.2104232,78.9618845"
Katihar ,225982,79.87,24259,"25.552048,87.5718609"
Khammam ,184252,81.7,29400,"17.2472528,80.1514447"
Khandwa ,200681,86.98,24431,"21.8257334,76.352571"
