City,Population,LiteracyRate,Graduates,Location
Srikakulam ,126003,85.13,21745,"18.4285005,84.0167423"
Srinagar ,1192792,70.98,135783,"34.0836708,74.7972825"
Sujangarh ,101528,74.55,5284,"27.7044756,74.4642861"
Sultan Pur Majra ,181624,79.78,7390,"28.6958531,77.0805496"
Sultanpur ,107914,88.63,20475,"26.2647757,82.0727061"
Surat ,4462002,89.03,278795,"21.1702401,72.8310607"
Surendranagar Dudhrej ,177827,85.34,17558,"22.7201319,71.649536"
Suryapet ,105250,84.88,14203,"17.1353148,79.6333674"
Tadepalligudem ,103577,83.1,11527,"16.8138415,81.521241"
Tadpatri ,108249,72.17,8618,"14.9070274,78.0092703"
Tambaram ,176807,93.72,35148,"12.9229153,80.1274558"
Tenali ,164649,82.63,22433,"16.2395313,80.6493396"
Thane ,1818872,91.36,241148,"19.2183307,72.9780897"
Thanesar ,154962,85.73,32979,"29.9696148,76.8197522"
Thanjavur ,222619,91.48,33652,"10.7869994,79.1378274"
Thiruvananthapuram ,752490,93.72,151257,"8.5241391,76.9366376"
Thoothukkudi ,237374,94.47,31795,"8.7641661,78.1348361"
Thrissur ,315596,97.24,53535,"10.5276416,76.2144349"
Tiruchirappalli ,846915,91.32,123329,"10.7904833,78.7046725"
Tirunelveli ,474838,90.98,59397,"8.7139126,77.7566523"
Tirupati ,287035,87.55,55454,"13.6287557,79.4191795"
Tiruppur ,444543,87.67,33358,"11.1085242,77.3410656"
Tiruvannamalai ,144683,81.64,16502,"12.2252841,79.0746957"
Tiruvottiyur ,248059,88.21,25781,"13.1691914,80.3045793"
Titagarh ,118426,81.18,5643,"22.7382665,88.3737064"
Tonk ,165363,69.47,11776,"26.1620402,75.7894716"
Tumkur ,305821,85.97,42163,"13.3709627,76.6412712"
Udaipur ,451735,90.66,92090,"24.585445,73.712479"
Udgir ,104063,85.78,9924,"18.3942882,77.1126009"
Udupi ,125350,93.89,22444,"13.3408807,74.7421427"
Ujjain ,515215,85.55,72743,"23.1793013,75.7849097"
Ulhasnagar ,506937,89.21,43561,"19.2215115,73.1644628"
Uluberia ,222175,81.13,11384,"22.4744363,88.1000377"
Unnao ,178681,83.72,27220,"26.5393449,80.4878195"
Uttarpara Kotrung ,162386,91.16,35773,"22.6768451,88.3385053"
Vadodara ,1666703,92.37,279959,"22.3071588,73.1812187"
Valsad ,114987,92.7,18980,"20.5992349,72.9342451"
Varanasi ,1201815,80.12,172622,"25.3176452,82.9739144"
Vasai Virar City ,1221233,91.15,129954,"19.3919275,72.8397317"
Vellore ,185895,86.67,15592,"12.9165167,79.1324986"
Veraval ,153696,78.0,10089,"20.9158979,70.3628516"
Vidisha ,155959,86.88,22023,"23.5251102,77.8081363"
Vijayawada ,1048240,82.59,135425,"16.5061743,80.6480153"
Visakhapatnam,1730320,82.66,250549,"17.6868,83.2185"
Vizianagaram ,227533,81.85,30656,"18.1066576,83.3955506"
Warangal ,620116,84.16,109613,"17.9689008,79.5940544"
Wardha ,105543,94.05,19363,"20.745319,78.6021946"
Yamunanagar ,216628,85.91,29803,"30.1290485,77.2673901"
Yavatmal ,116714,91.81,13511,"20.3887937,78.1204073"
