City,Population,LiteracyRate,Graduates,Location,StartupCount,PopulationScore,LiteracyScore,GraduateScore,StartupScore,OpportunityScore
Allahabad ,1117094,86.5,233129,"25.4358011,81.846311",0.0,3.5808750880618394,17.51012145748988,2.0991861375502725,0.0,23.19018268310199
Guwahati ,963429,91.11,184065,"26.1445169,91.7362365",0.0,3.0882977665409808,18.44331983805668,1.657394388549648,0.0,23.18901199314731
Ranchi ,1073440,88.49,200849,"23.3440997,85.309562",0.0,3.4409410081238474,17.912955465587043,1.8085241927895488,0.0,23.162420666500438
Haora ,1072161,89.86,151490,"22.5957689,88.2636394",0.0,3.4368411389654496,18.19028340080972,1.3640761465861853,0.0,22.991200686361353
Madurai ,1016885,91.42,129719,"9.9252007,78.1197754",0.0,3.2596524230939954,18.506072874493928,1.1680414130240504,0.0,22.933766710611973
Jabalpur ,1054336,88.9,169711,"23.181467,79.9864071",0.0,3.3797026184428236,17.99595141700405,1.5281452697424789,0.0,22.903799305189352
Thiruvananthapuram ,752490,93.72,151257,"8.5241391,76.9366376",0.0,2.4121270860067763,18.97165991902834,1.3619781220158864,0.0,22.745765127051005
Kochi ,601574,97.49,115773,"9.9312328,76.2673041",0.0,1.9283617584784387,19.734817813765183,1.0424660883142283,0.0,22.70564566055785
Mira Bhayander ,814655,93.67,118506,"19.2952325,72.8543897",0.0,2.611398678056652,18.961538461538463,1.0670751061280777,0.0,22.64001224572319
Gurgaon ,876824,86.3,233817,"28.4594965,77.0266383",0.0,2.8106830922149206,17.469635627530366,2.1053811628908976,0.0,22.38569988263618
Chandigarh ,960787,86.77,189312,"30.7333148,76.7794179",0.0,3.0798287639479494,17.56477732793522,1.704640461169212,0.0,22.34924655305238
Tiruchirappalli ,846915,91.32,123329,"10.7904833,78.7046725",0.0,2.7148089822395365,18.48582995951417,1.1105033142935352,0.0,22.31114225604724
Amritsar ,1132761,85.27,140359,"31.6339793,74.8722642",0.0,3.6310960811068878,17.261133603238864,1.2638482002686011,0.0,22.15607788461435
Raipur ,1010087,86.9,147194,"21.2513844,81.6296413",0.0,3.2378612498814956,17.59109311740891,1.325393255796468,0.0,22.154347623086874
Gwalior ,1053505,85.2,169264,"26.2182871,78.1828308",0.0,3.3770388254243495,17.246963562753038,1.5241203041505318,0.0,22.14812269232792
Mysore ,887446,86.84,149306,"12.2958104,76.6393805",0.0,2.844732201050339,17.578947368421055,1.3444105428886197,0.0,21.768090112360014
Amravati ,646801,93.03,91996,"20.9374238,77.7795513",0.0,2.0733381325416538,18.831983805668017,0.8283685337734682,0.0,21.733690471983138
Hubli-Dharwad ,943857,87.28,113864,"15.3647083,75.1239547",0.0,3.0255591901780727,17.668016194331983,1.0252766938734532,0.0,21.71885207838351
Varanasi ,1201815,80.12,172622,"25.3176452,82.9739144",0.0,3.8524505493351855,16.21862348178138,1.5543570702752691,0.0,21.625431101391833
Kozhikode ,432097,96.8,61225,"11.2587531,75.78041",0.0,1.3850986424833154,19.59514170040486,0.5512942245345515,0.0,21.531534567422725
Meerut ,1309023,77.7,174025,"28.9844618,77.7064137",0.0,4.196108698462236,15.728744939271255,1.5669902396835496,0.0,21.49184387741704
Cuttack ,606007,91.17,110147,"20.462521,85.8829895",0.0,1.9425718601040658,18.455465587044536,0.9918073491189422,0.0,21.389844796267546
Kota ,1001365,83.65,128652,"25.2138156,75.8647527",0.0,3.2099026425323602,16.933198380566804,1.158433721107703,0.0,21.301534744206865
Vijayawada ,1048240,82.59,135425,"16.5061743,80.6480153",0.0,3.3601617252531506,16.71862348178138,1.2194205040031298,0.0,21.298205711037657
Mangalore ,484785,94.03,78097,"12.9141417,74.8559568",0.0,1.553991454225033,19.034412955465587,0.703216415736625,0.0,21.291620825427245
Noida ,642381,88.58,143014,"28.5355161,77.3910265",0.0,2.059169702768301,17.931174089068826,1.287754875093252,0.0,21.27809866693038
Kolhapur ,549283,92.12,92443,"16.7049873,74.2432527",0.0,1.7607415409946445,18.64777327935223,0.8323934993654152,0.0,21.24090831971229
Jalandhar ,862196,85.5,128924,"31.3260152,75.5761829",0.0,2.76379264182474,17.307692307692307,1.1608829171726012,0.0,21.232367866689646
Thrissur ,315596,97.24,53535,"10.5276416,76.2144349",0.0,1.011651530034146,19.684210526315788,0.4820504093173902,0.0,21.177912465667326
Aizawl ,291822,98.8,26832,"23.727107,92.7176389",0.0,0.9354433288052593,20.0,0.24160598828437868,0.0,21.17704931708964
Ambattur ,478134,92.69,97186,"13.1143167,80.1480551",0.0,1.5326714934959453,18.763157894736842,0.875101355747079,0.0,21.17093074397987
Dehradun ,578420,89.32,136036,"30.3164945,78.0321918",0.0,1.854140984050339,18.080971659919026,1.2249221907518537,0.0,21.16003483472122
